"feature","coef_original","coef_extended","is_new"
"nuc_bfp_mean",-215.76417,-228.43388,FALSE
"nuc_area_mean",-129.59391,-85.9381,FALSE
"area_slope_early",0,-62.36006,TRUE
"gfp_corr_slope",-77.01051,-58.90086,FALSE
"nuc_bfp_end",0,-50.75909,TRUE
"nuc_circ_mean",56.47119,17.96895,FALSE
"nuc_bfp_start",-60.53784,-8.48406,FALSE
"nuc_bfp_sd",-10.17614,-4.7172,FALSE
"nuc_area_slope",30.5954,0.93431,FALSE
"gfp_corr_start",13.08714,0,FALSE
"gfp_corr_mean",0,0,FALSE
"gfp_corr_sd",-37.86939,0,FALSE
"nuc_bfp_slope",-42.58611,0,FALSE
"nuc_circ_sd",0,0,FALSE
"nuc_ratio_mean",-6.30442,0,FALSE
"nuc_ratio_slope",0,0,FALSE
"area_start",0,0,FALSE
"area_mean",-51.73313,0,FALSE
"area_sd",0,0,FALSE
"area_slope",0,0,FALSE
"solidity_mean",0,0,FALSE
"solidity_sd",-9.10665,0,FALSE
"shape_idx_mean",0,0,FALSE
"gfp_snr_sd",0,0,FALSE
"bf_ctrst_mean",0,0,FALSE
"bf_ctrst_sd",0,0,FALSE
"gfp_ratio_start",10.88392,0,FALSE
"gfp_ratio_mean",34.72897,0,FALSE
"gfp_ratio_sd",0,0,FALSE
"gfp_ratio_slope",0,0,FALSE
"gfp_ratio_max",0,0,FALSE
"gfp_corr_end",0,0,TRUE
"gfp_corr_slope_early",0,0,TRUE
"gfp_corr_slope_late",0,0,TRUE
"nuc_bfp_slope_early",0,0,TRUE
"nuc_bfp_slope_late",0,0,TRUE
"area_slope_late",0,0,TRUE
"circ_start",0,0,TRUE
"circ_end",0,0,TRUE
"circ_slope",0,0,TRUE
"circ_sd",0,0,TRUE
"perim_start",0,0,TRUE
"perim_end",0,0,TRUE
"perim_slope",0,0,TRUE
"perim_sd",0,0,TRUE
